_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE?,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM?,IS_THERE_EMERGENCY_POWER?,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NON-SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
5486,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,2.0,14,119,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,CROMWELL MANAGEMENT INC.,PRIVATE,4154955,NO,NO,NO,1500  BATHURST ST ,YES,PAID,12,DOUBLE PANE,1965.0,2017.0
5487,NONE,,NO,NO,0 indoor parking spots and 0 outdoor parking spots,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,32,NO,,YES,PHC INC. ,PRIVATE,4154956,NO,NO,NO,101  VAUGHAN RD ,NO,UNAVAILABLE,12,SINGLE PANE,1920.0,2017.0
5488,NONE,,YES,NO,10 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,10.0,0.0,3,16,YES,Surface Parking,YES,,PRIVATE,4155472,NO,YES,NO,66  STATION RD ,NO,UNAVAILABLE,03,THERMAL,1959.0,2017.0
5489,NONE,,YES,NO,0 indoor parking spots and 16 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,40.0,1.0,4,86,YES,"Ground Level Garage , Surface Parking",YES,AIDERBROOK MANAGEMENT INC. ,PRIVATE,4155477,NO,YES,NO,2355  LAKE SHORE BLVD W,YES,UNAVAILABLE,03,THERMAL,1958.0,2017.0
5490,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,55.0,88.0,2.0,7,55,NO,"Ground Level Garage , Surface Parking",YES,MAYER INVESTMENTS LIMITED ,PRIVATE,4155486,NO,YES,NO,4  SUPERIOR AVE ,YES,UNAVAILABLE,03,DOUBLE PANE,1965.0,2017.0
5491,NONE,"Indoor recreation room , Child play area",YES,YES,15 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,5.0,4.0,25,329,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4155875,NO,YES,NO,5  CAPRI RD ,YES,PAID,02,DOUBLE PANE,1967.0,2017.0
5492,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,10.0,0.0,3,10,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4155891,NO,YES,NO,775  LAWRENCE AVE W,YES,UNAVAILABLE,08,DOUBLE PANE,1958.0,2017.0
5493,NONE,Indoor recreation room,NO,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,2.0,2.0,1.0,7,55,YES,"Underground Garage , Garage accessible thru buildg",YES,GREENWIN,TCHC,4156034,NO,NO,NO,261  JARVIS ST ,YES,UNAVAILABLE,13,DOUBLE PANE,1994.0,2017.0
5494,INDIVIDUAL UNITS,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,2.0,0.0,4,37,YES,Surface Parking,YES,,PRIVATE,4156037,NO,NO,NO,1535  BIRCHMOUNT RD ,YES,FREE,21,DOUBLE PANE,1960.0,2017.0
5495,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,36,YES,Surface Parking,YES,EICHLER PROPERTIES LTD.,PRIVATE,4152647,NO,NO,NO,1751  VICTORIA PARK AVE ,NO,FREE,21,DOUBLE PANE,1960.0,2017.0
5496,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,1.0,6,43,YES,Surface Parking,YES,MONTEREY PARK INC.,PRIVATE,4152651,NO,YES,NO,1725  LAWRENCE AVE E,NO,PAID,21,DOUBLE PANE,1960.0,2017.0
5497,CENTRAL AIR,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,0 indoor parking spots and 15 outdoor parking spots,NO,Recycling bins,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,243.0,3.0,3.0,11,243,NO,"Underground Garage , Garage accessible thru buildg , Carport , Surface Parking",YES,,SOCIAL HOUSING,4152654,NO,NO,NO,2155  LAWRENCE AVE E,YES,FREE,21,DOUBLE PANE,1993.0,2017.0
5498,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,4,36,NO,Surface Parking,YES,,PRIVATE,4152656,NO,YES,NO,1827  VICTORIA PARK AVE ,YES,FREE,21,DOUBLE PANE,1959.0,2017.0
5499,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,10,,,,,PRIVATE,4152666,,,,115  FOXRIDGE DR ,,,20,DOUBLE PANE,1958.0,
5500,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,16,,,,,PRIVATE,4152668,,,,640  KENNEDY RD ,,,20,DOUBLE PANE,,
5501,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,2.0,2.0,6,91,NO,Surface Parking,YES,GOLD SEAL MANAGEMENT INC.,PRIVATE,4152683,NO,YES,NO,2243  EGLINTON AVE E,YES,FREE,20,DOUBLE PANE,1968.0,2017.0
5502,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,2.0,7,169,YES,"Ground Level Garage , Surface Parking",NO,WALL REAL ESTATE,PRIVATE,4152685,NO,YES,NO,2303  EGLINTON AVE E,YES,BOTH,20,DOUBLE PANE,1968.0,2017.0
5503,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,YES,0.0,80.0,1.0,7,68,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,128 SHERIDAN AVENUE LIMITED,PRIVATE,4153077,NO,NO,NO,128  SHERIDAN AVE ,YES,UNAVAILABLE,09,DOUBLE PANE,1966.0,2017.0
5504,INDIVIDUAL UNITS,,NO,NO,Not Available,NO,Recycling bins,YES,NO,ELECTRIC,YES,NO,YES,YES,NO,,0.0,0.0,4,19,YES,Surface Parking,YES,,PRIVATE,4153108,NO,YES,NO,156  BRANDON AVE ,NO,UNAVAILABLE,09,DOUBLE PANE,,2018.0
5505,INDIVIDUAL UNITS,,YES,YES,30 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,NO,YES,YES,104.0,5.0,2.0,8,104,NO,"Underground Garage , Ground Level Garage , Surface Parking",YES,,PRIVATE,4153109,NO,NO,NO,2  REGAL RD ,YES,FREE,09,DOUBLE PANE,1955.0,2017.0
5506,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,23,NO,,YES,,PRIVATE,4153113,NO,NO,NO,921  ST CLAIR AVE W,YES,UNAVAILABLE,09,SINGLE PANE,1930.0,2017.0
5507,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,2.0,0.0,0.0,3,25,YES,,NO,TCH,TCHC,4153578,NO,NO,NO,230  RIVER ST ,YES,UNAVAILABLE,13,DOUBLE PANE,1961.0,2017.0
5508,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,1.0,12.0,0.0,4,29,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154089,NO,NO,NO,149  COSBURN AVE ,NO,FREE,14,DOUBLE PANE,1958.0,2017.0
5509,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,16.0,1.0,6,37,NO,"Ground Level Garage , Surface Parking",NO,ROLIN REALTY LIMITED,PRIVATE,4154092,NO,NO,NO,185  COSBURN AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1960.0,2017.0
5510,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,0.0,4,41,NO,Surface Parking,YES,CONNAUGHT YONGE SQUARE LIMITED,PRIVATE,4154107,NO,NO,NO,1111  BROADVIEW AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1973.0,2017.0
5511,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,30.0,0.0,1.0,4,30,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154592,NO,YES,NO,3890  BATHURST ST ,YES,FREE,06,DOUBLE PANE,1958.0,2017.0
5512,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,0.0,4,28,NO,Surface Parking,NO,WESTDALE PROPERTIES,PRIVATE,4154595,NO,YES,NO,3884  BATHURST ST ,NO,PAID,06,DOUBLE PANE,1960.0,2017.0
5513,NONE,,YES,NO,Not Available,NO,Unknown,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,29,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154600,NO,YES,NO,3908  BATHURST ST ,YES,UNAVAILABLE,06,DOUBLE PANE,1960.0,2017.0
5514,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,2.0,7,67,NO,"Underground Garage , Surface Parking",NO,CALETA CAPITAL,PRIVATE,4154603,NO,NO,NO,4160  BATHURST ST ,NO,UNAVAILABLE,06,DOUBLE PANE,1964.0,2017.0
5515,INDIVIDUAL UNITS,Child play area,YES,NO,10 indoor parking spots and 5 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,6,35,NO,"Underground Garage , Ground Level Garage , Surface Parking , Parking Deck",NO,ALEXIS COURT APARTMENTS,PRIVATE,4154609,NO,YES,NO,4350  BATHURST ST ,YES,FREE,06,DOUBLE PANE,1969.0,2017.0
5516,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,50.0,0.0,1.0,6,50,NO,"Underground Garage , Surface Parking",YES,,PRIVATE,4154610,NO,YES,NO,4340  BATHURST ST ,YES,FREE,06,DOUBLE PANE,1960.0,2017.0
5517,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,YES,YES,NO,0.0,0.0,0.0,4,16,NO,Surface Parking,YES,FIRM CAPITAL,PRIVATE,4154614,NO,NO,NO,1042  SHEPPARD AVE W,NO,UNAVAILABLE,06,SINGLE PANE,1950.0,2017.0
5518,NONE,,YES,NO,0 indoor parking spots and 4 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,11.0,0.0,3,10,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154617,NO,YES,NO,81  GARTHDALE CRT ,YES,BOTH,06,DOUBLE PANE,1959.0,2017.0
5519,NONE,"Indoor pool , Child play area , Sauna",YES,NO,36 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0.0,0.0,2.0,13,132,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,NOVI PROPERTIES,PRIVATE,4154621,NO,YES,NO,25  CEDARCROFT BLVD ,YES,FREE,06,SINGLE PANE,1965.0,2017.0
5520,NONE,,YES,NO,5 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,14.0,1.0,6,42,YES,"Underground Garage , Garage accessible thru buildg",NO,,PRIVATE,4154977,NO,NO,NO,197  VAUGHAN RD ,NO,UNAVAILABLE,12,DOUBLE PANE,1955.0,2017.0
5521,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,4.0,0.0,4,22,NO,Surface Parking,NO,TED O'SULLIVAN CARPENTRY INC,PRIVATE,4154983,NO,NO,NO,194  VAUGHAN RD ,NO,UNAVAILABLE,12,SINGLE PANE,1952.0,2017.0
5522,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,NO,NO,0.0,0.0,0.0,4,22,NO,Surface Parking,YES,CHEZ FIO INVESTMENTS INC.,PRIVATE,4154984,NO,NO,NO,180  VAUGHAN RD ,NO,UNAVAILABLE,12,SINGLE PANE,1955.0,2017.0
5523,NONE,,NO,NO,0 indoor parking spots and 7 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,24,YES,,NO,ROYALLEPAGE,PRIVATE,4154987,NO,NO,NO,229  VAUGHAN RD ,NO,UNAVAILABLE,12,DOUBLE PANE,1938.0,2017.0
5524,NONE,,NO,NO,0 indoor parking spots and 10 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,33,YES,Underground Garage,YES,,PRIVATE,4154996,NO,YES,NO,261  VAUGHAN RD ,NO,UNAVAILABLE,12,SINGLE PANE,1940.0,2017.0
5525,NONE,,NO,NO,8 indoor parking spots and 0 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,52,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4154998,NO,YES,NO,1660  BATHURST ST ,NO,UNAVAILABLE,12,DOUBLE PANE,1941.0,2017.0
5526,NONE,,NO,NO,0 indoor parking spots and 24 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,5,72,NO,Underground Garage,YES,BROSKO PROPERTY MANAGEMENT ,PRIVATE,4154999,NO,YES,NO,1654  BATHURST ST ,YES,UNAVAILABLE,12,DOUBLE PANE,1950.0,2017.0
5527,NONE,"Indoor recreation room , Indoor exercise room",YES,YES,8 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,YES,YES,NO,0.0,0.0,2.0,7,146,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DMS PROPERTY MANAGEMENT LTD.,PRIVATE,4155004,NO,NO,NO,989  EGLINTON AVE W,YES,UNAVAILABLE,12,DOUBLE PANE,1980.0,2017.0
5528,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,16,YES,Surface Parking,YES,,PRIVATE,4155507,NO,YES,NO,2666  LAKE SHORE BLVD W,NO,UNAVAILABLE,03,DOUBLE PANE,1955.0,2017.0
5529,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,NO,YES,YES,0.0,0.0,0.0,3,11,YES,Surface Parking,NO,,PRIVATE,4155514,NO,YES,NO,8  LAKE SHORE DR ,NO,UNAVAILABLE,03,DOUBLE PANE,1960.0,2017.0
5530,NONE,Indoor recreation room,YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,4.0,4.0,2.0,9,148,YES,Surface Parking,YES,,TCHC,4155517,NO,NO,NO,2835  LAKE SHORE BLVD W,YES,BOTH,03,DOUBLE PANE,1980.0,2017.0
5531,,,,NO, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,10.0,,,3,10,YES,,,,PRIVATE,4155521,,,,115  EIGHTH ST ,,,03,DOUBLE PANE,1960.0,
5532,NONE,Outdoor pool,YES,YES,20 indoor parking spots and 15 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0.0,3.0,3.0,16,218,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,VERTICA RESIDENT SERVICES,PRIVATE,4155905,NO,YES,NO,95  HIGH PARK AVE ,YES,PAID,04,DOUBLE PANE,1969.0,2017.0
5533,NONE,"Outdoor pool , Outdoor rec facilities",YES,NO,92 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,2.0,2.0,6,107,NO,"Underground Garage , Garage accessible thru buildg",YES,M&R PROPERTY MANAGEMENT,PRIVATE,4156069,NO,YES,NO,65  ELLERSLIE AVE ,YES,FREE,18,DOUBLE PANE,1966.0,2017.0
5534,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,NO,,,0.0,3,24,YES,,YES,GOWAN PROPERTY MANAGEMENT,PRIVATE,4415833,NO,NO,NO,120  MAITLAND ST ,NO,UNAVAILABLE,13,DOUBLE PANE,1928.0,
5535,CENTRAL AIR,Outdoor rec facilities,YES,NO,40 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0.0,0.0,4.0,20,185,YES,"Underground Garage , Garage accessible thru buildg",YES,AZURIA GROUP INCORPORATED,PRIVATE,4218633,NO,YES,NO,77  ST CLAIR AVE E,YES,PAID,12,DOUBLE PANE,1967.0,2017.0
5536,INDIVIDUAL UNITS,"Outdoor pool , Outdoor rec facilities",YES,NO,Not Available,NO,Recycling bins,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,12,NO,Surface Parking,YES,MORGUARD RESIDENTIAL,PRIVATE,4232587,NO,YES,NO,49  GENERATION BLVD ,NO,BOTH,25,DOUBLE PANE,1975.0,2017.0
5537,NONE,"Indoor recreation room , Indoor exercise room , Sauna",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,YES,YES,YES,9.0,18.0,2.0,16,174,NO,"Underground Garage , Garage accessible thru buildg",YES,DMS PROPERTY MANAGEMENT LTD.,SOCIAL HOUSING,4233307,NO,NO,NO,31  TICHESTER RD ,YES,UNAVAILABLE,12,SINGLE PANE,1986.0,2017.0
5538,NONE,"Indoor recreation room , Outdoor rec facilities",YES,NO,0 indoor parking spots and 12 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,3.0,1.0,7,111,NO,"Ground Level Garage , Surface Parking",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4254280,NO,NO,NO,2700  LAWRENCE AVE E,YES,FREE,21,DOUBLE PANE,1957.0,2017.0
5539,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1.0,1.0,2.0,9,176,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",NO,TCH,TCHC,4285976,NO,NO,NO,55  RANKIN CRES ,YES,PAID,09,DOUBLE PANE,1992.0,2017.0
5540,CENTRAL AIR,,NO,YES,Not Available,YES,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,NO,YES,NO,1.0,0.0,1.0,3,30,YES,,NO,ST. JUDE COMMUNITY HOMES,SOCIAL HOUSING,4286300,NO,NO,NO,270  MILAN ST ,YES,UNAVAILABLE,13,DOUBLE PANE,2005.0,2018.0
5541,CENTRAL AIR,Indoor recreation room,NO,NO,10 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,14,NO,Surface Parking,YES,HOUSELINK COMMUNITY HOMES,SOCIAL HOUSING,4253010,NO,NO,NO,46  DELAWARE AVE ,NO,FREE,09,DOUBLE PANE,2007.0,2017.0
5542,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,20,NO,,YES,,PRIVATE,4266442,NO,NO,NO,125  KENILWORTH AVE ,NO,UNAVAILABLE,19,DOUBLE PANE,1927.0,2017.0
5543,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,10,,,,,PRIVATE,4261157,,,,103  SIXTEENTH ST ,,,03,DOUBLE PANE,,
5544,INDIVIDUAL UNITS,"Indoor recreation room , Outdoor rec facilities",NO,NO,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,NO,YES,YES,YES,NO,0.0,12.0,2.0,7,195,YES,Surface Parking,YES,,PRIVATE,4270534,NO,NO,NO,105  CLEMENT RD ,YES,FREE,02,DOUBLE PANE,1981.0,2017.0
5545,CENTRAL AIR,"Indoor recreation room , Indoor exercise room",YES,YES,126 indoor parking spots and 40 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,NO,YES,30.0,7.0,3.0,16,221,NO,"Underground Garage , Garage accessible thru buildg",YES,KG GROUP,PRIVATE,4261706,NO,YES,NO,305  ROEHAMPTON AVE ,YES,FREE,15,THERMAL,2015.0,2017.0
5546,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,0.0,3,11,NO,"Ground Level Garage , Surface Parking",YES,KG GROUP,PRIVATE,4261719,NO,YES,NO,12  OAKBURN CRES ,NO,FREE,18,DOUBLE PANE,1945.0,2017.0
5547,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,6.0,4.0,24,293,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4244523,NO,YES,NO,265  MAIN ST ,YES,PAID,19,DOUBLE PANE,1970.0,2017.0
5548,NONE,Indoor recreation room,YES,NO,0 indoor parking spots and 9 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,YES,NO,YES,NO,0.0,0.0,0.0,3,39,NO,Surface Parking,YES,HOUSELINK COMMUNITY HOMES,SOCIAL HOUSING,4250261,NO,NO,NO,1245  KING ST W,NO,FREE,04,DOUBLE PANE,1987.0,2017.0
5549,NONE,Indoor recreation room,YES,NO,0 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,NO,ELECTRIC,YES,YES,NO,YES,NO,0.0,0.0,0.0,3,45,NO,Surface Parking,YES,HOUSELINK COMMUNITY HOMES,SOCIAL HOUSING,4250265,NO,NO,NO,153  BORDEN ST ,NO,FREE,11,DOUBLE PANE,1987.0,2017.0
5550,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,6,24,,,,,TCHC,4268877,,,,83  GILDER DR ,,,21,DOUBLE PANE,,
5551,NONE,,NO,NO,0 indoor parking spots and 8 outdoor parking spots,YES,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,NO,0.0,0.0,0.0,3,16,YES,Surface Parking,YES,FIRM CAPITAL PROPERTIES INC,PRIVATE,4264076,NO,YES,NO,8  KINGSTON RD ,YES,UNAVAILABLE,19,SINGLE PANE,1970.0,2017.0
5552,NONE,,NO,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,36,YES,Ground Level Garage,YES,AKELIUS CANADA LTD ,PRIVATE,4250641,NO,YES,NO,338-342  DONLANDS AVE ,NO,UNAVAILABLE,14,DOUBLE PANE,1949.0,2018.0
5553,CENTRAL AIR,Outdoor rec facilities,YES,NO,15 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,0.0,4.0,2.0,7,102,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,DAVPART INC.,PRIVATE,4235524,NO,NO,NO,1920  YONGE ST ,YES,PAID,12,DOUBLE PANE,1996.0,2017.0
5554,INDIVIDUAL UNITS,,NO,NO,100 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,ELECTRIC,YES,NO,YES,YES,YES,0.0,0.0,3.0,25,336,NO,,YES,MAPLE LEAF PROPERTY MANAGEMENT,PRIVATE,4270170,NO,NO,NO,88  BLOOR ST E,YES,UNAVAILABLE,11,DOUBLE PANE,1972.0,2017.0
5555,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,11,NO,"Ground Level Garage , Surface Parking",YES,DMS PROPERTIES MANAGEMENT LTD.,PRIVATE,4329040,NO,YES,NO,18  ROSSEAU RD ,NO,UNAVAILABLE,06,DOUBLE PANE,1949.0,2018.0
5556,INDIVIDUAL UNITS,"Outdoor pool , Outdoor rec facilities",YES,NO,Not Available,NO,Recycling bins,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,12,NO,Surface Parking,YES,MORGUARD RESIDENTIAL,PRIVATE,4232579,NO,YES,NO,53  GENERATION BLVD ,NO,BOTH,25,DOUBLE PANE,1975.0,2017.0
5557,NONE,Child play area,YES,YES,Not Available,YES,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,YES,YES,NO,65.0,1.0,2.0,10,65,YES,"Carport , Surface Parking , Parking Deck",YES,,PRIVATE,4232801,NO,YES,NO,4  ANTRIM CRES ,YES,FREE,21,DOUBLE PANE,1989.0,2017.0
5558,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,101.0,1.0,2.0,12,101,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Carport , Surface Parking , Parking Deck",YES,FIRM CAPITAL PROPERTIES INC,PRIVATE,4250529,NO,YES,NO,2255  WESTON RD ,YES,BOTH,05,SINGLE PANE,1965.0,2017.0
5559,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,,25.0,0.0,3,36,NO,Surface Parking,YES,D S MANAGEMENT,PRIVATE,4329455,NO,YES,NO,485  DUPLEX AVE ,NO,UNAVAILABLE,08,DOUBLE PANE,1900.0,2018.0
5560,NONE,"Outdoor pool , Indoor recreation room , Indoor exercise room , Child play area",YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,YES,YES,NO,0.0,0.0,2.0,3,304,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",YES,,PRIVATE,4228864,NO,NO,NO,2911  BAYVIEW AVE ,YES,FREE,17,DOUBLE PANE,1964.0,2017.0
